"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"530","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Credit (Undeclared / Undecided)","Rockville High School","Black","MD","Part-Time","Continuing",20906
"531","30 or Older","Day Only","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Female","Other State","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20886
"532","30 or Older","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Damascus High School","White","MD","Part-Time","Continuing",20879
"533","21 - 24","No Specific Time[online]","No","No","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","New",20874
"534","30 or Older","No Specific Time[online]","No","Yes","Yes","Boonsboro","Washington","Not Hispanic",2015,"Male","Other Maryland","Fire Sci./Preven., Emerg. Prepare. (AA, AS & AAS)","","White","MD","Full-Time","Continuing",21713
"535","30 or Older","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20877
"536","21 - 24","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Northwest HS - Germantown","Asian","MD","Part-Time","Continuing",20874
"537","25 - 29","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","Asian","MD","Full-Time","Continuing",20879
"538","25 - 29","Evening Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Northwest HS - Germantown","Hispanic","MD","Part-Time","Continuing",20879
"539","20 or Younger","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Springbrook Sr High School","Multi-Race","MD","Full-Time","New",20903
"540","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","Black","MD","Part-Time","Continuing",20904
"541","20 or Younger","Day & Evening","Yes","Yes","Yes","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Quince Orchard Sr High School","White","MD","Part-Time","New",20878
"542","21 - 24","No Specific Time[online]","No","Yes","Yes","Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","White","MD","Part-Time","Transfer with degree",20854
"543","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Engineering Science (AA & AS - All Tracks)","Quince Orchard Sr High School","White","MD","Full-Time","New",20878
"544","21 - 24","Day Only","No","No","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Graphic Design (AFA) - School of Art & Design","Quince Orchard Sr High School","White","MD","Part-Time","Continuing",20878
"545","30 or Older","Day & Evening","No","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Studio Art (AFA)","Watkins Mill High School","Black","MD","Part-Time","Continuing",20877
"546","21 - 24","Day Only","No","No","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","MCPS","Computer Science & Technologies (AA - All Tracks)","Northwood High School","Black","MD","Part-Time","Transfer no degree",20912
"547","25 - 29","Day Only","Yes","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","MCPS","Mental Health Associate (AA & AAS)","Walt Whitman High School","Multi-Race","MD","Full-Time","Continuing",20817
"548","21 - 24","Evening Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Wheaton High School","Black","MD","Part-Time","Continuing",20902
"549","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","Science (AS - All Tracks)","","White","MD","Part-Time","Continuing",20901
"550","21 - 24","Day & Evening","Yes","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","White","MD","Full-Time","Continuing",20852
"551","25 - 29","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Seneca Valley High School","Asian","MD","Full-Time","Continuing",20876
"552","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Wheaton High School","White","MD","Part-Time","New",20906
"553","30 or Older","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","American Sign Language (AA & AAS)","","White","MD","Part-Time","Continuing",20876
"554","20 or Younger","Day Only","No","No","Yes","Kensington","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Albert Einstein HS & MC Art Cn","White","MD","Part-Time","New",20895
"555","30 or Older","No Specific Time[online]","No","Yes","No","Hyattsville","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20785
"556","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Rockville High School","Black","MD","Part-Time","New",20853
"557","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Gaithersburg High School","Black","MD","Full-Time","Continuing",20877
"558","21 - 24","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Albert Einstein HS & MC Art Cn","White","MD","Part-Time","Continuing",20877
"559","30 or Older","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","White","MD","Full-Time","Transfer no degree",20879
"560","20 or Younger","Day Only","No","No","Yes","Kensington","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Part-Time","New",20895
"561","21 - 24","No Specific Time[online]","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Computer Science - Computer Programming (CT)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Part-Time","Transfer with degree",20852
"562","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","James Hubert Blake High School","Hispanic","MD","Part-Time","Continuing",20905
"563","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Other State","Engineering Science (AA & AS - All Tracks)","","Multi-Race","MD","Part-Time","Continuing",20902
"564","21 - 24","Day Only","No","Yes","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20871
"565","20 or Younger","Day & Evening","No","Yes","No","Kensington","Montgomery","Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Part-Time","Continuing",20895
"566","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","Automotive Technology (AA & AAS)","","White","MD","Part-Time","Continuing",20851
"567","30 or Older","Day & Evening","No","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Multi-Race","DC","Part-Time","New",20012
"568","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Other Maryland","General Studies (AA - All Tracks)","","Asian","MD","Part-Time","Continuing",20902
"569","20 or Younger","Day & Evening","No","Yes","Yes","Bethesda","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","Black","MD","Full-Time","New",20817
"570","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","Foreign Country","Business / International Business (AA)","","Hispanic","MD","Part-Time","Continuing",20878
"571","20 or Younger","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"572","21 - 24","Evening Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Seneca Valley High School","White","MD","Part-Time","Continuing",20876
"573","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Other Maryland","Computer Science & Technologies (AA - All Tracks)","","Asian","MD","Full-Time","New",20882
"574","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Mental Health Associate (AA & AAS)","","Black","MD","Part-Time","Continuing",20901
"575","21 - 24","Day & Evening","Yes","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Walter Johnson High School","Hispanic","MD","Part-Time","Continuing",20853
"576","30 or Older","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walt Whitman High School","Unknown","MD","Part-Time","Continuing",20878
"577","25 - 29","No Specific Time[online]","No","Yes","Yes","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Other State","Arts & Sciences Transfer (CT)","","White","MD","Part-Time","Transfer with degree",20871
"578","30 or Older","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Microcomputer Technician (AA & AAS)","Seneca Valley High School","Black","MD","Part-Time","Continuing",20874
"579","25 - 29","Day & Evening","Yes","No","Yes","Bethesda","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Walt Whitman High School","White","MD","Part-Time","Continuing",20814
"580","20 or Younger","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Commun & Broadcasting Tech (AA & AAS - All Tracks)","Seneca Valley High School","White","MD","Full-Time","Continuing",20874
"581","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20906
"582","21 - 24","Day Only","No","No","Yes","Lanham","Prince George's","Not Hispanic",2015,"Male","Other Maryland","Computer Applications (AA & AAS)","","Black","MD","Part-Time","Continuing",20706
"583","25 - 29","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","New",20817
"584","21 - 24","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Science (AS - All Tracks)","","Asian","MD","Part-Time","Continuing",20879
"585","21 - 24","Day & Evening","No","Yes","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Arts & Sciences Transfer (AA - All Tracks)","","White","DC","Full-Time","Continuing",20015
"586","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Wheaton High School","White","MD","Part-Time","Continuing",20906
"587","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Wheaton High School","White","MD","Part-Time","Continuing",20906
"588","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","Hispanic","MD","Part-Time","Continuing",20877
"589","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (CT)","Seneca Valley High School","White","MD","Full-Time","New",20874
"590","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Unknown",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20904
"591","21 - 24","Evening Only","No","No","Yes","Chevy Chase","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Bethesda Chevy Chase High Schl","White","MD","Part-Time","Transfer",20815
"592","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Gaithersburg High School","Asian","MD","Full-Time","Continuing",20877
"593","21 - 24","No Specific Time[online]","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Black","MD","Part-Time","Continuing",20876
"594","20 or Younger","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Wheaton High School","White","MD","Full-Time","Continuing",20853
"595","21 - 24","Day & Evening","No","Yes","No","Kensington","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","White","MD","Part-Time","Continuing",20895
"596","20 or Younger","Day Only","No","No","Yes","Riverdale","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Science (AS - All Tracks)","","Black","MD","Full-Time","New",20737
"597","25 - 29","Day Only","No","Yes","No","North Bethesda","Montgomery","Not Hispanic",2015,"Male","Other State","Engineering Science (AA & AS - All Tracks)","","White","MD","Full-Time","Transfer no degree",20852
"598","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Education / Teacher Education (AA & AAT)","John F. Kennedy High School","Black","MD","Part-Time","Continuing",20902
"599","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Pacific Islander","MD","Part-Time","Continuing",20906
"600","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Pacific Islander","MD","Part-Time","Continuing",20906
"601","20 or Younger","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","MCPS","Hospitality Management (AA & AAS)","Watkins Mill High School","White","MD","Full-Time","Continuing",20879
"602","20 or Younger","Day & Evening","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","White","MD","Part-Time","New",20874
"603","20 or Younger","Day & Evening","Yes","No","Yes","","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Albert Einstein HS & MC Art Cn","White","MD","Part-Time","HS Student",NA
"604","25 - 29","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","White","MD","Full-Time","Transfer no degree",20904
"605","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Nursing (AA & AAS)","","White","MD","Part-Time","Continuing",20901
"606","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Other Maryland","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20903
"607","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Unknown",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20910
"608","25 - 29","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20878
"609","21 - 24","No Specific Time[online]","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Digital Media & Web Technology (CT)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20878
"610","20 or Younger","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Criminal Justice (AA & AAS)","Wheaton High School","White","MD","Full-Time","New",20906
"611","30 or Older","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Building Trades Technology (AA & AAS)","","Asian","MD","Part-Time","Continuing",20855
"612","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Male","Other Maryland","General Studies (AA - All Tracks)","","Black","MD","Part-Time","New",20781
"613","21 - 24","Day Only","Yes","No","No","Boyds","Montgomery","Unknown",2015,"Female","MCPS","Business / International Business (AA)","Seneca Valley High School","White","MD","Part-Time","Continuing",20841
"614","21 - 24","Day Only","No","No","Yes","Gaithersburg","Montgomery","Unknown",2015,"Female","MCPS","Nursing (AA & AAS)","Colonel Zadok Magruder HS","White","MD","Part-Time","Continuing",20879
"615","20 or Younger","Day Only","No","No","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Black","MD","Part-Time","HS Student",20879
"616","30 or Older","No Specific Time[online]","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","Black","MD","Part-Time","Continuing",20878
"617","20 or Younger","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Winston Churchill High School","White","MD","Part-Time","Continuing",20854
"618","21 - 24","Day & Evening","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","White","MD","Part-Time","Continuing",20854
