"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"507","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20852
"508","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Sherwood High School","White","MD","Part-Time","Continuing",20832
"509","21 - 24","Evening Only","Yes","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Microcomputer Technician (AA & AAS)","Quince Orchard Sr High School","White","MD","Full-Time","Continuing",20878
"510","20 or Younger","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20879
"511","21 - 24","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science - Computer Programming (CT)","","Black","MD","Part-Time","Continuing",20874
"512","21 - 24","Day & Evening","Yes","Yes","No","Owings Mills","Baltimore","Not Hispanic",2015,"Male","Other State","Business / International Business (AA)","","Multi-Race","MD","Part-Time","Continuing",21117
"513","20 or Younger","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","White","MD","Full-Time","Continuing",20817
"514","21 - 24","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Early Childhood Education (CT)","Montgomery Blair High School","Asian","MD","Part-Time","Continuing",20901
"515","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20906
"516","30 or Older","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Graphic Design (AA, AAS, & AFA - All Tracks)","","Multi-Race","MD","Part-Time","Continuing",20903
"517","20 or Younger","Day & Evening","Yes","No","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Gaithersburg High School","Black","MD","Part-Time","New",20877
"518","25 - 29","Day Only","Yes","Yes","No","Bethesda","Montgomery","Hispanic",2015,"Male","Foreign Country","Architectural & Construction Tech (AA & AAS)","","White","MD","Full-Time","Continuing",20814
